Lookback window in days,Compound annual growth rate,Annualized volatility,Risk-adjusted score,Percent of positive days,Largest peak-to-trough loss,Ending value of one dollar,Average daily trading activity
5,5.00%,14.67%,0.41,48.73%,-20.27%,1.21,53.11%
20,0.83%,13.95%,0.13,49.48%,-25.98%,1.03,25.75%
60,7.64%,14.21%,0.59,52.05%,-18.86%,1.31,13.70%
120,4.72%,14.37%,0.39,49.77%,-14.47%,1.17,10.38%
