Lookback window in days,Compound annual growth rate,Annualized volatility,Risk-adjusted score,Percent of positive days,Largest peak-to-trough loss,Ending value of one dollar,Average daily trading activity,Market exposure versus Bitcoin,Benchmark-adjusted annual return,Correlation with Bitcoin
30,5.35%,38.28%,0.32,47.95%,-58.03%,1.33,32.78%,-0.014,12.76%,-0.021
60,4.75%,32.36%,0.30,48.57%,-56.38%,1.29,23.65%,-0.032,10.49%,-0.055
